Fecha;Ciudad;Sistema;Pasajeros/dia;DiaSemana
16/03/2020;2;2;3020938;1
17/03/2020;2;2;2637563;2
18/03/2020;2;2;2382931;3
19/03/2020;2;2;2223115;4
20/03/2020;2;2;511354;5
21/03/2020;2;2;378217;6
22/03/2020;2;2;255430;7
23/03/2020;2;2;302413;1
24/03/2020;2;2;1082000;2
25/03/2020;2;2;624302;3
26/03/2020;2;2;616422;4
27/03/2020;2;2;595602;5
28/03/2020;2;2;463284;6
29/03/2020;2;2;242311;7
30/03/2020;2;2;641943;1
31/03/2020;2;2;625313;2
1/04/2020;2;2;668539;3
2/04/2020;2;2;657300;4
3/04/2020;2;2;654132;5
4/04/2020;2;2;493786;6
5/04/2020;2;2;256735;7
6/04/2020;2;2;680940;1
7/04/2020;2;2;610591;2
8/04/2020;2;2;675671;3
9/04/2020;2;2;285240;4
10/04/2020;2;2;224445;5
11/04/2020;2;2;396985;6
12/04/2020;2;2;249157;7
13/04/2020;2;2;635816;1
14/04/2020;2;2;700872;2
15/04/2020;2;2;657841;3
16/04/2020;2;2;681298;4
17/04/2020;2;2;648009;5
18/04/2020;2;2;483085;6
19/04/2020;2;2;266188;7
20/04/2020;2;2;678199;1
21/04/2020;2;2;667264;2
22/04/2020;2;2;676004;3
23/04/2020;2;2;672443;4
24/04/2020;2;2;710189;5
25/04/2020;2;2;508099;6
26/04/2020;2;2;318247;7
27/04/2020;2;2;736623;1
28/04/2020;2;2;773559;2
29/04/2020;2;2;733746;3
30/04/2020;2;2;794831;4
1/05/2020;2;2;371939;5
2/05/2020;2;2;681702;6
3/05/2020;2;2;278549;7
4/05/2020;2;2;798976;1
5/05/2020;2;2;823431;2
6/05/2020;2;2;830420;3
7/05/2020;2;2;821653;4
8/05/2020;2;2;879193;5
9/05/2020;2;2;628444;6
10/05/2020;2;2;323990;7
11/05/2020;2;2;896108;1
12/05/2020;2;2;929228;2
13/05/2020;2;2;931933;3
14/05/2020;2;2;916930;4
15/05/2020;2;2;957727;5
16/05/2020;2;2;743912;6
17/05/2020;2;2;352463;7
18/05/2020;2;2;984656;1
19/05/2020;2;2;979686;2
